CRS,Tiploc,Description,Stannox
XPZ,ABDAPEN,PENYWAUN BUS,0
XTO,ABDATRE,TRECYNON BUS,0
,ABGNWYN,ABERGYNOLWYN,0
XAE,ABNGHST,ABINGDON HIGH STREET,0
,ABNGSTR,ABINGDON STRATTON WAY,0
,ABRDSVC,ABERDEEN SERVICE CO.,0
AFD,ABRFRWD,ABERFFRWD,0
,ABRYSNS,ABERYSTWYTH STN SDGS,0
,ALBNFCL,ALBANY PARK-FOOTSCRAY LANE,0
,ALBNHRC,ALBANY PARK HURST ROAD,0
,ALBNHV,ALBANY PARK-HRST RD/VAL AV,0
ALG,ALBURGH,ALDEBURGH,0
ZAD,ALDGTLT,LONDON ALDGATE,0
XYX,ALFREMD,E MIDS DESIGNER OUTLET,0
,ALRSBUS,ALRESFORD (SWAN),0
,ALTOBUS,ALTON (HIGH STREET),0
ATW,ALTT,ALTON TOWERS,0
ARP,ALVCRLP,ALVECHURCH RED LION PUB,0
AMI,AMIENS,AMIENS,0
AMD,AMPFLD,AMPFIELD (SCHOOL),0
,ANGOLEM,ANGOULEME,0
,ANSTYXR,ANSTY CROSS ROADS,0
ARW,ARKW,ARKLOW,0
,ARLEY,ARLEY,0
ARA,ARMADLE,ARMADALE (SKYE),0
ARZ,ARUNLRD,ARUNDEL LONDON ROAD,0
,ASHF871,ASHFORD SIGNAL AD871,0
,ASHF878,ASHFORD SIGNAL AD878,0
ABF,ASHUBUS,ASHURST BALD FACE STAG P.H,0
XAF,AVEBRED,AVEBURY RED LION,0
,AXMNSSA,AXMINSTER STATION APPROACH,0
,AXMNSTS,AXMINSTER STATION,0
,AYRRSTE,AYR S.& T.E.,0
,AYSHMS,AYLSHAM SOUTH,0
,BAKECH,CHATSWORTH HOUSE,0
BKZ,BAKEWEL,BAKEWELL SQUARE,0
,BANSBUS,BANSTEAD (FIRTREE ROAD),0
,BARELAJ,BARE LANE JUNCTION,0
,BARKG21,BARKING SIGNAL BK 21,0
BPL,BARLSOP,BARLASTON ORCHARD PLACE,0
XDO,BATHBUS,BATH BUS STATION,0
,BCKFOOT,BECKFOOT,0
XBU,BCKLWCS,BUCKLEY WELLS CS(E.L.RLY),0
,BCKNBUS,BECKENHAM JN (UP SIDE-BUS),0
,BCKNDSG,BECKENHAM DOWN SIDINGS,0
XEZ,BCSTBUS,BICESTER BURE PLACE,0
,BDHMNRD,BEDHAMPTON NEW ROAD,0
BDC,BDICK,BRODICK,0
ZBZ,BECNTRE,BECONTREE,0
XDW,BEDFBUS,BEDFORD BUS STATION,0
BFB,BELFBUS,BELFORD BUS,0
,BELN688,BELLINGHAM SIGNAL VS688,0
BEW,BEWDLEY,BEWDLEY,0
XFG,BHAMAIR,BIRMINGHAM AIRPORT (BUS),0
XNE,BHAMNEC,BIRMINGHAM INT'L BUS STN,0
,BLAR34,BLAIR ATHOLL SIG 3-4,0
BCW,BLENCWM,BLAENCWM,0
BHP,BLENHEM,BLENHEIM PALACE,0
XBX,BLFAIRS,BELFAIRS BUS,0
XBB,BLFSGPO,BELFAST G.P.O.,0
BFC,BLFSTCL,BELFAST CENTRAL,0
BFQ,BLFSTDQ,BELFAST DONEGALL QUAY,0
BFA,BLFSTPT,BELFAST PORT,0
,BLFSTYR,BELFAST YORKGATE,0
,BLHSJN,BLACKHOUSE JN,0
,BLKBNHS,BLACKBURN H.S.,0
BLZ,BLNRHND,BLAENRHONDDA,0
,BNBRYFY,BANBURY RESERVOIR F.Y.,0
,BNDO1,BRANDON SIGNAL B1,0
,BNDO2,BRANDON SIGNAL B2,0
,BNDSBPL,BOUNDS GREEN BY PASS,0
,BNGRD,BINGHAM ROAD,0
,BODMNGS,BODMIN GENERAL STATION,0
BDF,BODMNMF,BODMIN MOUNT FOLLY,0
,BODMTSB,BODMIN TSB BUS STOP,0
,BOLGHVP,BOULOGNE HOVERPORT,0
BOU,BOLGNEM,BOULOGNE MARITIME,0
,BOMODD6,BOURNEMOUTH DEPOT D6,0
,BOMOXTN,BOURNEMOUTH EXTENSION,0
BDZ,BORDON,BORDON CAMP (FIRE STATION),0
,BOWJB4S,BOW JN B4 SIGNAL,0
BKV,BOWKERV,BOWKER VALE,0
BXX,BOXHBUS,BOXHILL BURFORD BDGE HOTEL,0
,BRANS27,BRANKSOME SIGNAL 27,0
BZY,BRAY,BRAY,0
LRR,BRGHBUS,LONDON ROAD DITCHLING RISE,0
BOK,BRKLNDS,BROOKLANDS,0
BKI,BRKNIOM,BIRKENHEAD 12 QUAYS,0
ZEO,BRMNDSY,BERMONDSEY LRT,0
BMK,BRNAMKT,BURNHAM MARKET,0
,BRNSTPS,BARNSTAPLE STATION BS,0
,BRNSTSA,BARNSTAPLE (STN APPROACH),0
,BRNZETT,BRENZETT,0
BDD,BROADFO,BROADFORD,0
,BROXS30,BROXBOURNE SIGNAL BN 30,0
XPB,BRSTAIR,BRISTOL INTERNATL AIRPORT,0
XDU,BRSTSTA,BRISTOL T.M. STN. APPROACH,0
XAA,BRWCGAL,GALASHIELS BUS STATION,0
,BSAUEJN,BP.AUCKLAND E JN.,0
,BSEAFST,BATTERSEA FESTIVAL,0
,BSPSBUS,BISHOPS LYDEARD L ARMS,0
XLU,BSPSHIT,BISHOPS LYDEARD HITHERMEAD,0
BST,BSSNBUS,BISHOPSTONE (HILL RISE),0
BOB,BSTBARN,BESSES-O'-TH'-BARN,0
,BTCHBUS,BETCHWORTH (A25),0
,BTGBJN,BRENTINGBY JN,0
,BTHM202,BATHAMPTON SIG. B202,0
XEY,BUCVBUS,BUCKINGHAM TESCO,0
BUA,BUDESTD,BUDE STRAND,0
,BUNT,BURNT TREE,0
BUR,BURY,BURY,0
BUZ,BUXTMP,BUXTON (MARKET PLACE),0
XKC,CAEUPK,CAERAU PARK,0
CSQ,CAEUSQU,CAERAU (SQUARE),0
CAL,CALAISM,CALAIS MARITIME,0
XAH,CALLNRD,CALLINGTON NEW ROAD,0
XAI,CALNSTR,CALNE STRAND,0
,CAMBTRD,CAMBRIDGE THROUGH ROAD,0
